Sárospatak,
Budapest, Stefánia Palota
Pápa, Vaszari út 101.
Budapest, művészetek palotája
Budapest, 1213 Hollandi út 8.
Budapest, Lovarda Budai Vár
Budapest, Nemzeti Színház
Budapest, Pesti Vigadó
Budapest, Nemzeti Színház
Budapest, Budai Vár, Lovarda
Mórahalom, Aranyszöm Rendezvényház
Budapest, Nemzeti Színház
Budapest, Kossuth tér
Szeghalom, Művelődési Ház
Szombathely, Megyei Művelődési és Ifjúsági Központ
Budapest, Papp László Budapest
Kecskemét, Katona József Színház
Balmazújváros
Miskolc, Nemzeti Színház
Tiszakécske, Arany János Művelődési Központ
Mohács, Kossuth Teátrum
Győri Nemzeti Színház
Komarno, slovakia
Szentendre, Néprajzi Múzeum
Kassa ,Fő tér
Budapest,  Várkert Bazár
Madéfalva,  Piactér
Székelyudvarhely, Tomcsa Sándor Színház
Budapest, Sándor-palota
Szeged, Nemzeti Színház
Tusványos
Budapest, Nemzeti Táncszínház
Balatonakali
Mezőkövesd
Budapest,  Várkert Bazár
Jászberény, Székely Mihály
Keszthely
Nyíregyháza, Sóstói Falumúzeum
Kolozsvár Állami Magyar Színház
Szolnok, Tiszaliget
Budapest,  Stefánia Palota
Zselíz, Kultúrház
Magyarpolány, Művelődési Ház
Budapest,  MVM Dome
Budapest, Soroksári út 152.
Kecskemét, Hirös Agóra
Debrecen
Szombathely
Budapest, Stefánia palota
Budapest, Újszász utca 37-39.
Veszprém, AGÓRA Táborállás tér 1.
Nagykanizsa
Budapest, Nemzeti Tánczínház
Budapest, Kongresszusi Központ
Budapest, Müpa Fesztivál Színház
Budapest, Zeneakadémia
Budapest, Stefánia Palota
Budapest, Országház
Galgahévíz
Telgárt
Etyek
Budapest, Vajdahunyad Vára
Pápa, Eszterházy Kastély
Stefánia Palota
Kiskőrös, Petőfi tér
Szolnok, Kilián út 1.
Debrecen, Református Nagytemplom
Nagyoroszi
Budapest, Hotel ARÉNA
Tiszaújváros
Budapest, Szentháromság tér
Budapest RAM colosseum
Budapest, Városliget
Budapest, Szent István-bazilika
Budapest, Margitsziget
Budapest, Bálna
Győr, Nemzeti Színház
Galgahévíz
Eger, Egri Vár
Harangod
Nyíregyháza, Sóstói Múzeumfalu
Magyarpolány
Pécsvárad, Várszínház 
Székesfehérvár, Zichy Liget
Debrecen, Református Nagytemplom előtt
Budapest, Bálna
Magyar Rádió, Budapest Kongresszusi Központ
Lelesz SK
Budapest, Sándor-palota
Győr Laktanya út 1.
Budapest, Néprajzi Múzeum
Budapest, Stefánia Palota
Sukoró, Református Templom
Pákozd, Katonai Emlékpark
Budapest, Bálna
Müpa Fesztivál Színház
Debrecen, Lovarda Hallgatói Kulturális és Konferencia Központ
Budapest, 1134 Aba utca 4.
Budapest, Fiumei úti sírkert
Károlyváros
Budapest Újszász u 37-39.
Budapest, Stefánia Palota
Szentes, Tóth József Színház és Vigadó
Budapest, Zeneakadémia
Budapest, Stefánia Palota alsó ovál
